Step;w;x;TaskTime;y
1;1.000000000000;0.000000000000;0.100000001490;0.075000000000
2;1.000000000000;0.075000000000;0.200000002980;0.169375000000
3;1.000000000000;0.169375000000;0.300000011921;0.254796875000
4;1.000000000000;0.254796875000;0.400000005960;0.331452734375
5;1.000000000000;0.331452734375;0.500000000000;0.400223857422
6;1.000000000000;0.400223857422;0.600000023842;0.461920749756
7;1.000000000000;0.461920749756;0.699999988079;0.517271097089
8;1.000000000000;0.517271097089;0.800000011921;0.566927746063
9;1.000000000000;0.566927746063;0.899999976158;0.611476387681
10;1.000000000000;0.611476387681;1.000000000000;0.651442464953
11;1.000000000000;0.651442464953;1.100000023842;0.687297370390
12;1.000000000000;0.687297370390;1.200000047684;0.719464005987
13;1.000000000000;0.719464005987;1.299999952316;0.748321771278
14;1.000000000000;0.748321771278;1.399999976158;0.774211038283
15;1.000000000000;0.774211038283;1.500000000000;0.797437166129
16;1.000000000000;0.797437166129;1.600000023842;0.818274102713
17;1.000000000000;0.818274102713;1.700000047684;0.836967615856
18;1.000000000000;0.836967615856;1.799999952316;0.853738192099
19;1.000000000000;0.853738192099;1.899999976158;0.868783637295
20;1.000000000000;0.868783637295;2.000000000000;0.882281409696
21;1.000000000000;0.882281409696;2.099999904633;0.894390713036
22;1.000000000000;0.894390713036;2.200000047684;0.905254374316
23;1.000000000000;0.905254374316;2.299999952316;0.915000528416
24;1.000000000000;0.915000528416;2.400000095367;0.923744129427
25;1.000000000000;0.923744129427;2.500000000000;0.931588306510
26;1.000000000000;0.931588306510;2.599999904633;0.938625580286
27;1.000000000000;0.938625580286;2.700000047684;0.944938954102
28;1.000000000000;0.944938954102;2.799999952316;0.950602893037
29;1.000000000000;0.950602893037;2.900000095367;0.955684202207
30;1.000000000000;0.955684202207;3.000000000000;0.960242814715
31;1.000000000000;0.960242814715;3.099999904633;0.964332498556
32;1.000000000000;0.964332498556;3.200000047684;0.968001490797
33;1.000000000000;0.968001490797;3.299999952316;0.971293066523
34;1.000000000000;0.971293066523;3.400000095367;0.974246049264
35;1.000000000000;0.974246049264;3.500000000000;0.976895268906
36;1.000000000000;0.976895268906;3.599999904633;0.979271972507
37;1.000000000000;0.979271972507;3.700000047684;0.981404192846
38;1.000000000000;0.981404192846;3.799999952316;0.983317079070
39;1.000000000000;0.983317079070;3.900000095367;0.985033193318
40;1.000000000000;0.985033193318;4.000000000000;0.986572776843
41;1.000000000000;0.986572776843;4.099999904633;0.987953988747
42;1.000000000000;0.987953988747;4.199999809265;0.989193120170
43;1.000000000000;0.989193120170;4.300000190735;0.990304786438
44;1.000000000000;0.990304786438;4.400000095367;0.991302099451
45;1.000000000000;0.991302099451;4.500000000000;0.992196822331
46;1.000000000000;0.992196822331;4.599999904633;0.992999508170
47;1.000000000000;0.992999508170;4.699999809265;0.993719624499
48;1.000000000000;0.993719624499;4.800000190735;0.994365664957
49;1.000000000000;0.994365664957;4.900000095367;0.994945249473
50;1.000000000000;0.994945249473;5.000000000000;0.995465214139
51;0.000000000000;0.995465214139;5.099999904633;0.920931691841
52;0.000000000000;0.920931691841;5.199999809265;0.826975184600
53;0.000000000000;0.826975184600;5.300000190735;0.741928753459
54;0.000000000000;0.741928753459;5.400000095367;0.665609717334
55;0.000000000000;0.665609717334;5.500000000000;0.597140769698
56;0.000000000000;0.597140769698;5.599999904633;0.535714969037
57;0.000000000000;0.535714969037;5.699999809265;0.480607827117
58;0.000000000000;0.480607827117;5.800000190735;0.431169365857
59;0.000000000000;0.431169365857;5.900000095367;0.386816467740
60;0.000000000000;0.386816467740;6.000000000000;0.347025998513
61;0.000000000000;0.347025998513;6.099999904633;0.311328636931
62;0.000000000000;0.311328636931;6.199999809265;0.279303339198
63;0.000000000000;0.279303339198;6.300000190735;0.250572372835
64;0.000000000000;0.250572372835;6.400000095367;0.224796861393
65;0.000000000000;0.224796861393;6.500000000000;0.201672787467
66;0.000000000000;0.201672787467;6.599999904633;0.180927406872
67;0.000000000000;0.180927406872;6.699999809265;0.162316031670
68;0.000000000000;0.162316031670;6.800000190735;0.145619144123
69;0.000000000000;0.145619144123;6.900000095367;0.130639807522
70;0.000000000000;0.130639807522;7.000000000000;0.117201343355
71;0.000000000000;0.117201343355;7.099999904633;0.105145247415
72;0.000000000000;0.105145247415;7.199999809265;0.094329320275
73;0.000000000000;0.094329320275;7.300000190735;0.084625990069
74;0.000000000000;0.084625990069;7.400000095367;0.075920807807
75;0.000000000000;0.075920807807;7.500000000000;0.068111097470
76;0.000000000000;0.068111097470;7.599999904633;0.061104744965
77;0.000000000000;0.061104744965;7.699999809265;0.054819111655
78;0.000000000000;0.054819111655;7.800000190735;0.049180059657
79;0.000000000000;0.049180059657;7.900000095367;0.044121077391
80;0.000000000000;0.044121077391;8.000000000000;0.039582495096
81;0.000000000000;0.039582495096;8.100000381470;0.035510781029
82;0.000000000000;0.035510781029;8.199999809265;0.031857910074
83;0.000000000000;0.031857910074;8.300000190735;0.028580797293
84;0.000000000000;0.028580797293;8.399999618530;0.025640789744
85;0.000000000000;0.025640789744;8.500000000000;0.023003210581
86;0.000000000000;0.023003210581;8.600000381470;0.020636950044
87;0.000000000000;0.020636950044;8.699999809265;0.018514098526
88;0.000000000000;0.018514098526;8.800000190735;0.016609617385
89;0.000000000000;0.016609617385;8.899999618530;0.014901043618
90;0.000000000000;0.014901043618;9.000000000000;0.013368224912
91;0.000000000000;0.013368224912;9.100000381470;0.011993081953
92;0.000000000000;0.011993081953;9.199999809265;0.010759395184
